###,poem_id,display_name,place_id,place_name,year,verse,word,word_normalised,word_lemmatised (local),lemma_standard (Finnish/Estonian & minority languages if needed),root (Est/Fi,English,Alternative (English),Refrain / onomatopoetic word,Comment
19,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kuu kiviä kuumataha,",kuumataha,kuumataha,kuumata,kuumata,kuuma,to heat,,,
20,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Vuosi pannaha olutta.,vuosi,vuosi,vuosi,vuosi,vuosi,year,,,
21,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Vuosi pannaha olutta.,pannaha,pannaha,panna,panna,panna,to brew,,,
22,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Vuosi pannaha olutta.,olutta,olutta,olut,olut,olut,beer,,,
23,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ei ota olut hapata,",ei,ei,ei,ei,ei,no,,,
24,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ei ota olut hapata,",ota,ota,ottoa,ottaa,ottaa,to start,,,
25,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ei ota olut hapata,",olut,olut,olut,olut,olut,beer,,,
26,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ei ota olut hapata,",hapata,hapata,hapata,hapata,hapata,to sour,,,
27,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kahja kultani kahissa,",kahja,kahja,kahja,kahja,kahja,beer,,,
28,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kahja kultani kahissa,",kultani,kultani,kultaine,kultainen,kulta,golden,,,
29,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kahja kultani kahissa,",kahissa,kahissa,kahissa,kahista,kahista,to swish,,,
30,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,10 Eikä noussa nuoren juoma.,eikä,eikä,eikä,ei,ei,nor,,,
31,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,10 Eikä noussa nuoren juoma.,noussa,noussa,noussa,nousta,nousta,to rise,,,
32,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,10 Eikä noussa nuoren juoma.,nuoren,nuoren,nuori,nuori,nuori,young,,,
33,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,10 Eikä noussa nuoren juoma.,juoma,juoma,juoma,juoma,juoma,drink,,,
34,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Osmutar oluen seppä,",osmutar,Osmutar,Osmutar,Osmotar,osma,Osmotar,,,
35,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Osmutar oluen seppä,",oluen,oluen,olut,olut,olut,beer,,,
36,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Osmutar oluen seppä,",seppä,seppä,seppä,seppä,seppä,smith,,,
37,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Löi kahta kämmentähä,",löi,löi,löi,löi,löi,to hit,,,
38,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Löi kahta kämmentähä,",kahta,kahta,kaksi,kaksi,kaksi,two,,,
39,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Löi kahta kämmentähä,",kämmentähä,kämmentähä,kämmen,kämmen,kämmen,palm,,,
40,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Hykerti molempiaha;,hykerti,hykerti,hykerteä,hykertää,hykertää,to chuckle,to rub ones hands with pleasure,,"""nauraa kihertää, hieroskella käsiään mielihyvästä"""
41,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Hykerti molempiaha;,molempiaha,molempiaha,molemmat,molemmat,molemmat,both,,,
42,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Otti kärpän kämmeneltäh,",otti,otti,ottau,ottaa,ottaa,to take,,,
43,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Otti kärpän kämmeneltäh,",kärpän,kärpän,kärppä,kärppä,kärppä,stoat,,,
44,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Otti kärpän kämmeneltäh,",kämmeneltäh,kämmeneltäh,kämmen,kämmen,kämmen,palm,,,
45,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,15 Hiero rautasen oravan.,hiero,hiero,hieroa,hieroa,hieroa,to rub,,,
46,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,15 Hiero rautasen oravan.,rautasen,rautasen,rautaine,rautainen,rauta,iron,,,
47,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,15 Hiero rautasen oravan.,oravan,oravan,orava,orava,orava,red squirrel,,,
48,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"""Oravainen lintuseni,",oravainen,oravainen,oravainen,orava,orava,red squirrel,,,
49,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"""Oravainen lintuseni,",lintuseni,lintuseni,lintunen,lintu,lintu,bird,,,
50,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Mänes tuonne, kunne käsken",mänes,mänes,männä,mennä,mennä,to go,,,
51,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Mänes tuonne, kunne käsken",tuonne,tuonne,tuonne,tuonne,tuonne,there,,,
52,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Mänes tuonne, kunne käsken",kunne,kunne,kunne,kunne,kunne,where,,,
53,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Mänes tuonne, kunne käsken",käsken,käsken,käskie,käskeä,käskeä,to order,,,
54,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ylitse meren yheksän,",ylitse,ylitse,ylitse,ylitse,ylitse,over,,,
55,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ylitse meren yheksän,",meren,meren,meri,meri,meri,sea,,,
56,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ylitse meren yheksän,",yheksän,yheksän,yheksän,yhdeksän,yhdeksän,nine,,,
57,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Meren puoli kymmenettä,",meren,meren,meri,meri,meri,sea,,,
58,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Meren puoli kymmenettä,",puoli,puoli,puoli,puoli,puoli,half,,,
59,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Meren puoli kymmenettä,",kymmenettä,kymmenettä,kymmenen,kymmenen,kymmenen,ten,,,
60,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"20 *Siell' on kolme korpikuusta,",siell,siell,se,se,se,there,,,
61,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"20 *Siell' on kolme korpikuusta,",on,on,olla,olla,olla,to be,,,
62,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"20 *Siell' on kolme korpikuusta,",kolme,kolme,kolme,kolme,kolme,three,,,
63,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"20 *Siell' on kolme korpikuusta,",korpikuusta,korpikuusta,korpikuusi,korpikuusi,korpi & kuusi,high hard spruce,,,
64,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kaks' on vaipalla katettu,",kaks,kaks,kaksi,kaksi,kaksi,two,,,
65,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kaks' on vaipalla katettu,",on,on,olla,olla,olla,to be,,,
66,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kaks' on vaipalla katettu,",vaipalla,vaipalla,vaippa,vaippa,vaippa,blanket,,,
67,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kaks' on vaipalla katettu,",katettu,katettu,kattoa,kattaa,kattaa,to cover,,,
68,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kolmas ilman kattamatta,*",kolmas,kolmas,kolme,kolme,kolme,three,,,
69,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kolmas ilman kattamatta,*",ilman,ilman,ilman,ilman,ilman,without,,,
70,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kolmas ilman kattamatta,*",kattamatta,kattamatta,kattoa,kattaa,kattaa,to cover,,,
71,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tuo sie kuusesta käpyjä,",tuo,tuo,tuuva,tuoda,tuoda,to bring,,,
72,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tuo sie kuusesta käpyjä,",sie,sie,sie,sinä,sinä,you,,,
73,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tuo sie kuusesta käpyjä,",kuusesta,kuusesta,kuusi,kuusi,kuusi,spruce,,,
74,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tuo sie kuusesta käpyjä,",käpyjä,käpyjä,käpy,käpy,käpy,cone,,,
75,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Petäjästä helpehiä,",petäjästä,petäjästä,petäjä,petäjä,petäjä,pine,,,
76,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Petäjästä helpehiä,",helpehiä,helpehiä,helveh,helve,helve,glumella,,,
77,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"25 Ne kanna kavun kätehe,",ne,ne,ne,ne,ne,those,,,
78,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"25 Ne kanna kavun kätehe,",kanna,kanna,kantoa,kantaa,kantaa,to carry,,,
79,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"25 Ne kanna kavun kätehe,",kavun,kavun,kapo,kapo,kapo,female,,,
80,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"25 Ne kanna kavun kätehe,",kätehe,kätehe,käsi,käsi,käsi,hand,,,
81,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu kantoa kahjasehe,",kapu,kapu,kapu,kapo,kapo,female,,,
82,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu kantoa kahjasehe,",kantoa,kantoa,kantoa,kantaa,kantaa,to carry,,,
83,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu kantoa kahjasehe,",kahjasehe,kahjasehe,kahjane,kahja,kahja,beer,,,
84,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Osmutar oluehase.,osmutar,osmutar,Osmutar,Osmotar,osma,Osmotar,,,
85,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Osmutar oluehase.,oluehase,oluehase,olut,olut,olut,beer,,,
86,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto kavun kätehe,",se,se,se,se,se,it,,,
87,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto kavun kätehe,",kanto,kanto,kantoa,kantaa,kantaa,carry,,,
88,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto kavun kätehe,",kavun,kavun,kapo,kapo,kapo,female,,,
89,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto kavun kätehe,",kätehe,kätehe,käsi,käsi,käsi,hand,,,
90,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu k[antoa] k[ahjasehe],",kapu,kapu,kapu,kapo,kapo,female,,,
91,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu k[antoa] k[ahjasehe],",kantoa,kantoa,kantoa,kantaa,kantaa,to carry,,,
92,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kapu k[antoa] k[ahjasehe],",kahjasehe,kahjasehe,kahjane,kahja,kahja,beer,,,
93,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,30 O[smutar] o[luesehe].,osmutar,Osmutar,Osmutar,Osmotar,osma,Osmotar,,,
94,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,30 O[smutar] o[luesehe].,oluesehe,oluesehe,olut,olut,olut,beer,,,
95,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Eip' ottat olut hapata,",eip,eip,ei,ei,ei,no,,,
96,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Eip' ottat olut hapata,",ottat,ottat,ottoa,ottaa,ottaa,to start,,,
97,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Eip' ottat olut hapata,",olut,olut,olut,olut,olut,beer,,,
98,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Eip' ottat olut hapata,",hapata,hapata,hapata,hapata,hapata,to sour,,,
99,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahissa.,kahja,kahja,kahja,kahja,kahja,beer,,,
100,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahissa.,kultani,kultani,kultaine,kultainen,kulta,golden,,,
101,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahissa.,kahissa,kahissa,kahissa,kahista,kahista,to swish,,,
102,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"""Oravai[nen] l[intuseni],",oravainen,oravainen,oravainen,oravainen,orava,red squirrel,,,
103,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"""Oravai[nen] l[intuseni],",lintuseni,lintuseni,lintunen,lintunen,lintu,bird,,,
104,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Mäne t[uonue] k[unne] k[äsken],mäne,mäne,männä,mennä,mennä,to go,,,
105,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Mäne t[uonue] k[unne] k[äsken],tuonue,tuonue,tuonne,tuonne,tuonne,there,,,OCR-error probably
106,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Mäne t[uonue] k[unne] k[äsken],kunne,kunne,kunne,kunne,kunne,where,,,
107,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Mäne t[uonue] k[unne] k[äsken],käsken,käsken,käskie,käskeä,käskeä,to order,,,
108,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"35 Pimiähä Pohjolahe,",pimiähä,pimiähä,pimiä,pimeä,pimeä,dark,,,
109,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"35 Pimiähä Pohjolahe,",pohjolahe,pohjolahe,Pohjola,Pohjola,pohja,the North,,,
110,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tarkkaha Tapivolaha,",tarkkaha,tarkkaha,tarkka,tarkka,tarkka,sharp,strict,,
111,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Tarkkaha Tapivolaha,",tapivolaha,Tapivolaha,Tapiola,Tapiola,tapio,Tapiola,,,
112,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kussa tammat tappelove,",kussa,kussa,kussa,kussa,kussa,where,,,
113,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kussa tammat tappelove,",tammat,tammat,tamma,tamma,tamma,mare,,,
114,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kussa tammat tappelove,",tappelove,tappelove,tappella,tappella,tappella,to fight,,,
115,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Orihit tasoin tulove,",orihit,orihit,ori,ori,ori,stallion,,,
116,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Orihit tasoin tulove,",tasoin,tasoin,tasoin,tasan,tasa,even,,,
117,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Orihit tasoin tulove,",tulove,tulove,tuuva,tulla,tulla,to come,,,
118,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Juoksuo kuona konnan suusta,",juoksuo,juoksuo,juossa,juosta,juosta,to run,,,
119,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Juoksuo kuona konnan suusta,",kuona,kuona,kuona,kuona,kuona,drool,,,
120,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Juoksuo kuona konnan suusta,",konnan,konnan,konna,konna,konna,crook,strict,,
121,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Juoksuo kuona konnan suusta,",suusta,suusta,suu,suu,suu,mouth,,,
122,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"40 Kino ilkijän kijasta,",kino,kino,kino,kino,kino,slime,,,
123,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"40 Kino ilkijän kijasta,",ilkijän,ilkijän,ilkie,ilkeä,ilkeä,mean-one,,,
124,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"40 Kino ilkijän kijasta,",kijasta,kijasta,kita,kita,kita,mouth,,,
125,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Voahti vankasta nenästä,",voahti,voahti,voahti,vaahto,vaahto,foam,,,
126,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Voahti vankasta nenästä,",vankasta,vankasta,vankka,vankka,vankka,sturdy,,,
127,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Voahti vankasta nenästä,",nenästä,nenästä,nenä,nenä,nenä,nose,,,
128,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Koprin voahtie kokuo.""",koprin,koprin,kopra,kopra,kopra,hand,claw,,
129,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Koprin voahtie kokuo.""",voahtie,voahtie,voahti,vaahto,vaahto,foam,,,
130,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Koprin voahtie kokuo.""",kokuo,kokuo,kovota,koota,koota,to gather,,,
131,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto k[avun] k[ätehe],",se,se,se,se,se,It,,,
132,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto k[avun] k[ätehe],",kanto,kanto,kantoa,kantaa,kantaa,to carry,,,
133,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto k[avun] k[ätehe],",kavun,kavun,kapo,kapo,kapo,female,,,
134,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Se kanto k[avun] k[ätehe],",kätehe,kätehe,käsi,käsi,käsi,hand,,,
135,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"K[apu] k[anto] k[ahjasehe],",kapu,kapu,kapu,kapo,kapo,female,,,
136,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"K[apu] k[anto] k[ahjasehe],",kanto,kanto,kantoa,kantaa,kantaa,to carry,,,
137,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"K[apu] k[anto] k[ahjasehe],",kahjasehe,kahjasehe,kahjane,kahja,kahja,beer,,,
138,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,45 O[smutar] o[luesehe].,osmutar,Osmutar,Osmutar,Osmotar,osma,Osmotar,,,
139,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,45 O[smutar] o[luesehe].,oluesehe,oluesehe,olut,olut,olut,beer,,,
140,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Jopa nousi nuoren juoma,",jopa,jopa,jopa,jopa,jopa,so,,,
141,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Jopa nousi nuoren juoma,",nousi,nousi,noussa,nousta,nousta,to rise,,,
142,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Jopa nousi nuoren juoma,",nuoren,nuoren,nuori,nuori,nuori,young-one,,,
143,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Jopa nousi nuoren juoma,",juoma,juoma,juoma,juoma,juoma,drink,,,
144,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahisi.,kahja,kahja,kahja,kahja,kahja,beer,,,
145,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahisi.,kultani,kultani,kultani,kultainen,kulta,golden,,,
146,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Kahja kultani kahisi.,kahisi,kahisi,kahissa,kahista,kahista,to swish,,,
147,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Lähti Päivölän pitoho.,lähti,lähti,lähtie,lähteä,lähteä,to leave,,,
148,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Lähti Päivölän pitoho.,päivölän,Päivölän,Päivölä,Päivölä,päivä,Päivölä,,,Place of the sun/day'
149,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Lähti Päivölän pitoho.,pitoho,pitoho,pito,pito,pito,feast,,,
150,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kutsu ruujat, kutsu rammat,",kutsu,kutsu,kutsuo,kutsua,kutsua,to invite,,,
151,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kutsu ruujat, kutsu rammat,",ruujat,ruujat,ruuja,rujo,rujo,deformed person,,,
152,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kutsu ruujat, kutsu rammat,",kutsu,kutsu,kuttšuo,kutsua,kutsua,to invite,,,
153,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kutsu ruujat, kutsu rammat,",rammat,rammat,rampa,rampa,rampa,crippled person,,,
154,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"50 Sokiet venehin souti,",sokiet,sokiet,sokie,sokea,sokea,blind person,,,
155,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"50 Sokiet venehin souti,",venehin,venehin,vene,vene,vene,boat,,,
156,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"50 Sokiet venehin souti,",souti,souti,soutoa,souti,souti,row,,,
157,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Rammat ratsahin ajeli,",rammat,rammat,rampa,rampa,rampa,crippled person,,,
158,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Rammat ratsahin ajeli,",ratsahin,ratsahin,ratsahin,ratsain,ratsu,on horseback,,,
159,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Rammat ratsahin ajeli,",ajeli,ajeli,ajella,ajella,ajaa,to drive,,,
160,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ruujat reällä reutuoli,",ruujat,ruujat,ruuja,rujo,rujo,deformed person,,,
161,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ruujat reällä reutuoli,",reällä,reällä,reki,reki,reki,sledge,,,
162,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Ruujat reällä reutuoli,",reutuoli,reutuoli,reutuolla,reuhahuttoa,reuhata,to bring uproariously,,,
163,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Üht' ei kutsut Lemminkäistä.,uht,yht,yksi,yksi,yksi,one,,,
164,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Üht' ei kutsut Lemminkäistä.,ei,ei,ei,ei,ei,no,,,
165,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Üht' ei kutsut Lemminkäistä.,kutsut,kutsut,kuttšuo,kutsua,kutsua,to invite,,,
166,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Üht' ei kutsut Lemminkäistä.,lemminkäistä,Lemminkäistä,"Lemminkäine, Lemminkäini",Lemminkäinen,lempi,Lemminkäinen,,,
167,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,L[emminkäi]ne lieto poika,lemminkäine,Lemminkäine,"Lemminkäine, Lemminkäini",Lemminkäinen,lempi,Lemminkäinen,,,
168,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,L[emminkäi]ne lieto poika,lieto,lieto,lieto,lieto,lieto,mild,,,"(as a noun: a soft, wet or sludgy, sandy soil)"
169,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,L[emminkäi]ne lieto poika,poika,poika,poika,poika,poika,boy,son,,
170,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,55 On se kaikitse torasa.,on,on,olla,olla,olla,to be,,,
171,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,55 On se kaikitse torasa.,se,se,se,se,se,it (he),,,
172,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,55 On se kaikitse torasa.,kaikitse,kaikitse,kaikittše,kaikittše,kaikki,always,,,
